col1 col2 weight
YAL032C YER029C 928
YAL032C YER172C 918
YAL032C YFL017W-A 800
YAL032C YGL120C 731
YAL032C YGL128C 808
YAL032C YGR074W 800
YAL032C YGR129W 849
YAL032C YGR278W 959
YAL032C YHR165C 918
YAL032C YIR009W 800
YAL032C YJL203W 607
YAL032C YJR050W 852
YAL032C YKL095W 954
YAL032C YKL173W 937
YAL032C YKR086W 959
YAL032C YKR099W 60
YAL032C YLL036C 959
YAL032C YLR117C 959
YAL032C YLR147C 800
YAL032C YLR275W 800
YAL032C YLR338W 180
YAL032C YLR424W 138
YAL032C YML049C 937
YAL032C YMR125W 787
YAL032C YMR213W 959
YAL032C YMR240C 800
YAL032C YMR288W 937
YAL032C YNL245C 800
YAL032C YNR011C 959
YAL032C YOR159C 800
YAL032C YOR250C 58
YAL032C YOR308C 288
YAL032C YOR353C 59
YAL032C YPL064C 833
YAL032C YPL151C 959
YAL032C YPL213W 959
YAL032C YPR101W 959
YAL032C YPR152C 640
YAL032C YPR182W 800
YAL033W YBL018C 808
YAL033W YBR167C 808
YAL033W YBR257W 808
YAL033W YGR030C 808
YAL033W YHR062C 808
YAL033W YIR015W 662
YAL033W YLR145W 808
YAL033W YNL221C 808
YAL033W YNL282W 808
YAL034C YBR198C 700
YAL034C YER110C 649
YAL034C YGR274C 599
YAL034C YOL004W 565
YAL034C YOL086C 565
YAL034W-A YBR107C 284
YAL034W-A YBR211C 808
YAL034W-A YCR086W 297
YAL034W-A YDL028C 199
YAL034W-A YDR254W 339
YAL034W-A YDR318W 334
YAL034W-A YDR532C 293
YAL034W-A YER018C 324
YAL034W-A YGL086W 454
YAL034W-A YGL093W 293
YAL034W-A YGR140W 285
YAL034W-A YGR179C 334
YAL034W-A YGR188C 56
YAL034W-A YIL144W 305
YAL034W-A YIR010W 808
YAL034W-A YJL013C 237
YAL034W-A YJL030W 297
YAL034W-A YJR112W 808
YAL034W-A YJR135C 296
YAL034W-A YKL089W 358
YAL034W-A YLR381W 655
YAL034W-A YMR117C 651
YAL034W-A YOL069W 293
YAL034W-A YPL018W 334
YAL034W-A YPL209C 536
YAL034W-A YPL233W 662
YAL034W-A YPR046W 348
YAL035W YBL027W 800
YAL035W YBL072C 800
YAL035W YBL087C 800
YAL035W YBL092W 800
YAL035W YBR031W 803
YAL035W YBR048W 800
YAL035W YBR079C 319
YAL035W YBR084C-A 800
YAL035W YBR084W 669
YAL035W YBR181C 800
YAL035W YBR191W 800
YAL035W YCR031C 800
YAL035W YDL014W 565
YAL035W YDL075W 800
YAL035W YDL082W 821
YAL035W YDL083C 800
YAL035W YDL136W 800
YAL035W YDL191W 800
YAL035W YDR012W 56
YAL035W YDR025W 800
YAL035W YDR060W 784
YAL035W YDR064W 800
YAL035W YDR418W 141
YAL035W YDR429C 143
YAL035W YDR450W 800
YAL035W YDR496C 631
YAL035W YEL054C 97
YAL035W YER025W 659
YAL035W YER036C 604
YAL035W YER056C-A 800
YAL035W YER074W 800
YAL035W YER102W 800
YAL035W YER117W 800
YAL035W YFR031C-A 927
YAL035W YFR032C-A 800
YAL035W YGL030W 803
YAL035W YGL031C 800
YAL035W YGL076C 803
YAL035W YGL103W 800
YAL035W YGL123W 800
YAL035W YGL130W 700
YAL035W YGL147C 800
YAL035W YGL189C 800
YAL035W YGR027C 800
YAL035W YGR102C 594
YAL035W YGR118W 800
YAL035W YGR214W 800
YAL035W YGR218W 81
YAL035W YHL001W 800
YAL035W YHL015W 800
YAL035W YHL033C 815
YAL035W YHR010W 803
YAL035W YHR052W 808
YAL035W YHR141C 800
YAL035W YHR203C 800
YAL035W YIL018W 809
YAL035W YIL069C 800
YAL035W YIL133C 849
YAL035W YIL148W 800
YAL035W YJL189W 800
YAL035W YJL190C 821
YAL035W YJR007W 297
YAL035W YJR123W 803
YAL035W YJR145C 803
YAL035W YKL006W 800
YAL035W YKL156W 800
YAL035W YKL180W 800
YAL035W YKR057W 800
YAL035W YKR063C 275
YAL035W YKR094C 800
YAL035W YLL045C 57
YAL035W YLR029C 800
YAL035W YLR061W 800
YAL035W YLR075W 803
YAL035W YLR167W 800
YAL035W YLR175W 698
YAL035W YLR185W 800
YAL035W YLR287C-A 800
YAL035W YLR325C 800
YAL035W YLR340W 803
YAL035W YLR344W 800
YAL035W YLR367W 85
YAL035W YLR388W 800
YAL035W YLR441C 800
YAL035W YML024W 800
YAL035W YML026C 800
YAL035W YML073C 800
YAL035W YMR116C 800
YAL035W YMR142C 63
YAL035W YMR143W 800
YAL035W YMR194W 816
YAL035W YMR242C 809
YAL035W YMR260C 895
YAL035W YMR309C 720
YAL035W YNL162W 800
YAL035W YNL178W 803
YAL035W YNL227C 56
YAL035W YOL040C 800
YAL035W YOL120C 803
YAL035W YOL121C 800
YAL035W YOL127W 800
YAL035W YOR063W 803
YAL035W YOR096W 800
YAL035W YOR167C 800
YAL035W YOR182C 800
YAL035W YOR293W 800
YAL035W YOR312C 800
YAL035W YOR361C 651
YAL035W YOR369C 800
YAL035W YPL081W 800
YAL035W YPL090C 800
YAL035W YPL131W 800
YAL035W YPL143W 800
YAL035W YPL198W 57
YAL035W YPL237W 297
YAL035W YPL249C-A 61
YAL035W YPR041W 565
YAL035W YPR102C 800
YAL035W YPR132W 800
YAL036C YAL005C 297
YAL036C YBR279W 288
YAL036C YDL168W 289
YAL036C YGR162W 612
YAL036C YGR250C 585
YAL036C YHR064C 293
YAL036C YLL024C 297
YAL036C YNL209W 288
YAL036C YOR091W 928
YAL038W YBR218C 736
YAL038W YBR221C 57
YAL038W YDL174C 143
YAL038W YDR021W 143
YAL038W YDR148C 99
YAL038W YEL050C 64
YAL038W YER120W 192
YAL038W YHR206W 143
YAL038W YIL021W 339
YAL038W YJL065C 143
YAL038W YJL148W 143
YAL038W YKL029C 57
YAL038W YKL032C 207
YAL038W YKL085W 84
YAL038W YKR026C 198
YAL038W YLL024C 128
YAL038W YLR006C 143
YAL038W YMR108W 143
YAL038W YMR178W 143
YAL038W YMR277W 143
YAL038W YNL002C 277
YAL038W YNL027W 143
YAL038W YNL071W 57
YAL038W YNL209W 128
YAL038W YNL249C 135
YAL038W YNL262W 60
YAL038W YNL307C 445
YAL038W YNR038W 143
YAL038W YOL031C 100
YAL038W YOL126C 73
YAL038W YOR027W 143
YAL038W YOR226C 196
YAL038W YOR347C 808
YAL038W YPL240C 128
YAL038W YPR010C 56
YAL038W YPR187W 57
YAL039C YAR035W 667
YAL039C YOR037W 498
YAL040C YBR160W 808
YAL040C YGL003C 266
YAL040C YGR188C 197
YAL040C YJL013C 215
YAL040C YJL157C 581
YAL040C YLR182W 536
YAL040C YNL064C 358
YAL040C YOR014W 536
YAL040C YOR026W 64
YAL040C YPL031C 581
YAL041W YBR200W 959
YAL041W YDR103W 560
YAL041W YER114C 808
YAL041W YER118C 585
YAL041W YGL052W 196
YAL041W YGL233W 207
YAL041W YGR152C 599
YAL041W YGR221C 220
YAL041W YHL007C 599
YAL041W YIL079C 199
YAL041W YJL157C 560
YAL041W YJL187C 296
YAL041W YLR206W 199
YAL041W YLR229C 599
YAL041W YLR357W 596
YAL041W YNL007C 632
YAL041W YNL298W 581
YAL041W YOR101W 79
YAL041W YOR212W 560
YAL041W YPL161C 585
YAL042W YDL097C 584
YAL042W YDL147W 305
YAL042W YFR052W 588
YAL042W YML067C 735
YAL042W YML130C 738
YAL043C YAL046C 660
YAL043C YBL051C 64
YAL043C YBL076C 781
YAL043C YBL101C 565
YAL043C YBR119W 606
YAL043C YDL140C 581
YAL043C YDL199C 288
YAL043C YDR195W 808
YAL043C YDR228C 808
YAL043C YDR301W 808
YAL043C YDR416W 73
YAL043C YER133W 808
YAL043C YGL044C 808
YAL043C YGR156W 808
YAL043C YJL033W 702
YAL043C YJR093C 808
YAL043C YKL018W 808
YAL043C YKL059C 808
YAL043C YKR002W 808
YAL043C YLL045C 287
YAL043C YLR115W 808
YAL043C YLR277C 808
YAL043C YLR303W 289
YAL043C YLR340W 287
YAL043C YLR358C 565
YAL043C YMR061W 808
YAL043C YMR182C 196
YAL043C YNL222W 808
YAL043C YNL317W 808
YAL043C YOL123W 279
YAL043C YOR179C 742
YAL043C YOR250C 581
YAL043C YPR107C 808
YAL044C YLR239C 289
YAL046C YAL043C 660
YAL047C YDL028C 592
YAL047C YDR179C 289
YAL047C YDR356W 613
YAL047C YFR002W 592
YAL047C YFR028C 445
YAL047C YGR218W 296
YAL047C YHR172W 808
YAL047C YIL061C 199
YAL047C YJL041W 660
YAL047C YJR053W 592
YAL047C YKL042W 609
YAL047C YLL003W 592
YAL047C YLR045C 585
YAL047C YLR146W-A 240
YAL047C YLR179C 289
YAL047C YLR212C 662
YAL047C YLR347C 220
YAL047C YLR457C 592
YAL047C YMR047C 240
YAL047C YMR055C 660
YAL047C YMR117C 620
YAL047C YNL126W 808
YAL047C YNL188W 660
YAL047C YNL209W 288
YAL047C YNL224C 289
YAL047C YNL225C 660
YAL047C YOR233W 585
YAL047C YOR257W 631
YAL047C YOR373W 601
YAL047C YPL055C 233
YAL047C YPL124W 617
YAL047C YPL255W 658
YAL048C YAL010C 585
YAL048C YBL105C 56
YAL048C YFL038C 285
YAL048C YGL219C 585
YAL048C YHR083W 85
YAL048C YJR009C 611
YAL048C YKL007W 192
YAL048C YLL006W 585
YAL048C YLR045C 56
YAL048C YLR422W 285
YAL048C YML001W 59
YAL048C YMR060C 60
YAL048C YNL121C 285
YAL048C YOL009C 585
YAL048C YOR045W 60
YAL048C YOR284W 324
YAL051W YBR060C 593
YAL051W YCR087C-A 288
YAL051W YDR060W 218
YAL051W YDR412W 288
YAL051W YEL056W 450
YAL051W YHR118C 288
YAL051W YIL036W 288
YAL051W YKL172W 288
