,gene,int
812,YGR195W,813
813,YHR142W,814
814,YER188C-A,815
815,YGL033W,816
816,YPR108W,817
817,YKL204W,818
818,YDR254W,819
819,YIL062C,820
820,YBR175W,821
821,YMR155W,822
822,YGL233W,823
823,YHR119W,824
824,YDR369C,825
825,YPL279C,826
826,YNL216W,827
827,YDR146C,828
828,YDR289C,829
829,YDR238C,830
830,YKL145W,831
831,YDR416W,832
832,YBR062C,833
833,YLR203C,834
834,YML032C,835
835,YJL031C,836
836,YFR009W,837
837,YFL008W,838
838,YMR078C,839
839,YGR121W-A,840
840,YCR039C,841
841,YOR349W,842
842,YLR024C,843
843,YBR136W,844
844,YMR251W,845
845,YNL312W,846
846,YDL084W,847
847,YJL021C,848
848,YDR268W,849
849,YJR046W,850
850,YGL210W,851
851,YDR350C,852
852,YDL013W,853
853,YFL022C,854
854,YER072W,855
855,YJL219W,856
856,YJR161C,857
857,YNL238W,858
858,YML126C,859
859,YNL181W,860
860,YEL076C,861
861,YJL072C,862
862,YMR242C,863
863,YBR211C,864
864,YLR088W,865
865,YJR043C,866
866,YNL072W,867
867,YLL031C,868
868,YKL054C,869
869,YHR128W,870
870,YDR180W,871
871,YBR107C,872
872,YGR135W,873
873,YOR070C,874
874,YAL004W,875
875,YGL115W,876
876,YBR010W,877
877,YNL001W,878
878,YNL322C,879
879,YLR360W,880
880,YBR123C,881
881,YNR032W,882
882,YDL074C,883
883,YER034W,884
884,YLR288C,885
885,YDL203C,886
886,YPL017C,887
887,YBR039W,888
888,YHR137W,889
889,YBR082C,890
890,YJR076C,891
891,YLR038C,892
892,YMR312W,893
893,YJR005C-A,894
894,YDL126C,895
895,YGL002W,896
896,YJR135C,897
897,YDR398W,898
898,YKR057W,899
899,YNL332W,900
900,YOR145C,901
901,YEL042W,902
902,YPR117W,903
903,YDL168W,904
904,YML093W,905
905,YAL015C,906
906,YMR256C,907
907,YDR177W,908
908,YHR060W,909
909,YMR222C,910
910,YBR277C,911
911,YJL111W,912
912,YPR101W,913
913,YEL036C,914
914,YNL054W,915
915,YMR152W,916
916,YOR384W,917
917,YGL114W,918
918,YLR025W,919
919,YPL042C,920
920,YHR022C-A,921
921,YKL002W,922
922,YOR035C,923
923,YBR164C,924
924,YOR256C,925
925,YDR360W,926
926,YGR274C,927
927,YPL012W,928
928,YOR174W,929
929,YLR135W,930
930,YGR113W,931
931,YOR144C,932
932,YOR038C,933
933,YHR086W-A,934
934,YDR267C,935
935,YJR092W,936
936,YAR035W,937
